Code,Year,TFP
BGR,2005,1.1212928
BGR,2006,1.0943666
BGR,2007,1.0598185
BGR,2008,1.0141115
BGR,2009,0.969937
BGR,2010,0.98496974
BGR,2011,0.9974404
BGR,2012,0.9863507
BGR,2013,0.95969296
BGR,2014,0.9405255
BGR,2015,0.9434455
BGR,2016,0.95942885
BGR,2017,0.9473193
BGR,2018,0.9526094
BGR,2019,0.9562247
BGR,2020,0.9373689
BGR,2021,1
BGR,2022,1.0108782
BGR,2023,1.0354439
BFA,1963,0.975848
BFA,1964,0.9849912
BFA,1965,0.9471492
BFA,1966,0.9257486
BFA,1967,0.9963898
BFA,1968,1.0247507
BFA,1969,1.0183784
BFA,1970,1.0229405
BFA,1971,0.9370385
BFA,1972,1.0992984
BFA,1973,0.9920508
BFA,1974,0.9987916
BFA,1975,0.9883744
BFA,1976,0.9444864
BFA,1977,0.9771585
BFA,1978,1.0526174
BFA,1979,0.9799802
BFA,1980,0.9434724
BFA,1981,0.9302399
BFA,1982,0.9029448
BFA,1983,0.851048
BFA,1984,0.82475615
BFA,1985,0.87542266
BFA,1986,0.9016955
BFA,1987,0.8532797
BFA,1988,0.8582552
BFA,1989,0.83182806
BFA,1990,0.79622006
BFA,1991,0.83089876
BFA,1992,0.8011548
BFA,1993,0.794276
BFA,1994,0.746792
BFA,1995,0.75783604
BFA,1996,0.80960023
BFA,1997,0.8225983
BFA,1998,0.8463661
BFA,1999,0.8778518
BFA,2000,0.8738754
BFA,2001,0.9167952
BFA,2002,0.94353235
BFA,2003,1.0011151
BFA,2004,1.0160995
BFA,2005,1.0686022
BFA,2006,1.0952216
BFA,2007,1.0774184
BFA,2008,1.0774753
BFA,2009,1.0543983
BFA,2010,1.0794903
BFA,2011,1.0966691
BFA,2012,1.1049808
BFA,2013,1.0980418
BFA,2014,1.0685024
BFA,2015,1.0481504
BFA,2016,1.0419271
BFA,2017,1.0356249
BFA,2018,1.0336876
BFA,2019,1.0058602
BFA,2020,0.9802668
BFA,2021,1
BFA,2022,0.97880685
BFA,2023,0.9515085
BDI,1980,1.4348038
BDI,1981,1.5211017
BDI,1982,1.4678206
BDI,1983,1.4428837
